episode,fatigue,skill_level,task_completion_time,task_complexity,task_type
82,0.5,2,10.258077472165365,high,human-only
83,1.0,2,9.147766694798342,low,robot-only
84,0.5,2,12.385320952805719,medium,collaborative
85,0.5,1,7.227497615680577,low,collaborative
86,0.5,0,9.624742816998156,high,collaborative
87,0.0,0,8.597342973033875,low,robot-only
88,0.5,1,11.083725623026584,medium,human-only
89,0.5,1,8.747475226082804,high,robot-only
90,0.5,1,9.182410889192589,high,collaborative
91,1.0,2,8.109376883201282,high,robot-only
92,0.5,2,6.108720861667964,high,human-only
93,1.0,0,11.144133922356053,medium,robot-only
94,0.5,1,10.502049652006798,medium,robot-only
95,0.5,2,8.654847752598826,medium,human-only
96,0.5,1,9.9825961684861,medium,collaborative
97,0.5,2,10.846899576698283,low,robot-only
98,0.5,1,10.61849288427487,high,robot-only
99,0.5,1,10.05600373323534,high,human-only
100,0.5,0,12.549734041516498,medium,collaborative
101,0.0,0,10.286847873216226,medium,robot-only
102,1.0,2,10.468757612866066,high,human-only
103,1.0,2,9.175740945057184,high,human-only
104,1.0,1,6.590145657257084,medium,collaborative
105,0.5,0,12.988996666446996,high,collaborative
106,0.5,0,6.804493739906589,high,collaborative
107,1.0,2,14.019569084829431,high,collaborative
108,1.0,1,8.695095481967911,high,human-only
109,0.5,1,9.741796339302738,high,human-only
110,0.0,1,9.240846773739152,high,human-only
111,0.5,1,8.188601918630354,medium,robot-only
112,1.0,2,9.572566538157824,low,robot-only
113,0.0,2,10.683032962310499,medium,robot-only
114,0.5,0,7.4007916471731905,low,robot-only
115,0.5,1,8.350960897760382,medium,robot-only
116,1.0,2,10.768569006516673,high,collaborative
117,0.5,0,10.125561203772454,medium,human-only
118,0.0,0,12.588227751436364,low,robot-only
119,0.0,1,12.040318945112272,high,collaborative
120,1.0,1,9.039562139814237,medium,human-only
121,0.5,2,11.530193931901811,low,robot-only
122,0.5,1,9.361634690488051,high,robot-only
123,0.0,2,11.031448110786318,medium,human-only
124,0.0,2,10.232390359475806,low,collaborative
125,1.0,1,11.343752260510836,low,human-only
126,0.5,0,11.525641664088187,high,collaborative
127,0.0,1,9.64754323066631,medium,human-only
128,1.0,1,10.86812945488905,low,human-only
129,0.5,0,8.425426572604284,high,human-only
130,0.5,1,9.590744199852308,high,collaborative
131,0.0,2,7.743433079441244,medium,collaborative
132,0.5,1,12.376176265019152,low,human-only
133,1.0,1,10.563503817940283,low,collaborative
134,1.0,2,12.452590106130097,high,collaborative
135,1.0,1,10.649782833810923,medium,collaborative
136,0.5,0,10.414860512720178,medium,collaborative
137,1.0,0,11.609618275485424,low,human-only
138,0.5,2,10.527661346700906,medium,collaborative
139,0.5,1,10.023035416789638,low,collaborative
140,0.0,2,10.183351533372301,low,collaborative
141,0.0,0,7.452220487309221,low,robot-only
142,0.0,0,7.178793807987272,medium,collaborative
143,0.5,0,10.335936115043053,medium,human-only
144,0.5,1,8.32445759522369,medium,human-only
145,0.0,0,8.511778645600133,medium,collaborative
146,1.0,1,7.591292375235302,high,collaborative
147,0.5,2,11.844424969097728,medium,collaborative
148,1.0,1,11.305774420300324,high,human-only
149,0.5,2,11.609021591556488,medium,human-only
150,0.0,0,6.745589015816492,medium,robot-only
151,1.0,2,6.743395811962801,medium,human-only
152,1.0,1,12.254635696109203,medium,robot-only
153,1.0,0,6.660028309229297,medium,robot-only
154,0.0,1,12.13606548146672,high,human-only
155,0.0,1,8.078388951327469,high,robot-only
156,1.0,1,13.347068821940091,low,robot-only
157,1.0,0,10.297719987441988,medium,robot-only
158,0.0,0,10.27248608455194,low,collaborative
159,0.5,2,8.39736304885703,high,robot-only
160,0.0,2,11.824104113415247,medium,human-only
161,0.0,1,11.775636704374365,high,human-only
162,1.0,0,8.957789807024568,high,collaborative
163,1.0,2,9.226841975483104,low,human-only
164,1.0,1,10.457713672066793,medium,collaborative
165,1.0,1,11.796463961153716,high,human-only
166,0.5,2,9.550056584310365,medium,robot-only
167,1.0,1,11.150879695505889,high,collaborative
168,0.5,0,6.698621342132318,low,robot-only
169,0.5,1,8.535315999743519,medium,robot-only
170,0.0,1,9.830998262792807,high,human-only
171,0.0,1,10.129274069314167,high,collaborative
172,0.5,0,13.58019921742541,high,collaborative
173,0.0,1,8.196798609119314,medium,robot-only
174,0.5,0,8.763141341762164,low,human-only
175,0.0,2,8.930633615463666,low,collaborative
176,0.0,2,11.466431751999378,low,human-only
177,1.0,1,8.996706837975275,medium,collaborative
178,0.5,2,10.39041879359802,low,collaborative
179,0.5,0,5.484038761089584,high,collaborative
180,0.5,1,10.193579943534727,high,robot-only
181,1.0,1,11.153888489930049,low,human-only
182,0.0,0,9.573665153682702,low,human-only
183,1.0,2,8.782499815973273,medium,collaborative
184,1.0,0,8.877476955510254,medium,collaborative
185,0.5,1,10.782118600898611,high,human-only
186,0.0,1,10.422008674176801,high,collaborative
187,1.0,2,9.067348341161694,medium,human-only
188,0.5,0,9.79608848377255,low,human-only
189,1.0,0,7.178594014695921,low,robot-only
190,1.0,0,8.694278412245318,medium,collaborative
191,0.5,2,8.860620962951328,medium,robot-only
192,0.5,1,14.811241992694363,medium,robot-only
193,0.5,1,10.397190423101577,medium,robot-only
194,1.0,2,10.361063777108964,low,collaborative
195,0.5,1,10.788733158025488,high,human-only
196,1.0,1,10.173893981624998,high,human-only
197,0.5,1,12.266003649211676,medium,collaborative
198,0.5,1,7.5195962442675865,high,robot-only
199,0.5,2,11.290594995779495,low,human-only
200,1.0,2,9.699963879718837,low,collaborative
201,0.5,0,9.277905379699627,medium,human-only
202,0.5,0,10.433852380761287,low,collaborative
203,1.0,0,11.29762250193112,low,collaborative
204,0.5,1,7.366222774587637,medium,human-only
205,1.0,2,10.250928285093016,low,collaborative
206,1.0,1,10.060125297991695,high,collaborative
207,0.5,2,6.961229519188687,medium,collaborative
208,0.5,0,12.38660000922923,low,human-only
209,1.0,0,12.634198829069943,high,robot-only
210,0.0,0,8.512573157646386,high,collaborative
211,0.5,0,14.382578587110078,medium,collaborative
212,0.0,1,11.90803810161554,high,robot-only
213,0.5,0,8.772787113303169,high,robot-only
214,0.5,2,9.54772792169693,medium,collaborative
215,0.0,2,14.442635940031536,medium,collaborative
216,0.5,1,9.914667242643953,low,collaborative
217,0.5,0,8.154027844280822,high,collaborative
218,1.0,2,11.754630109893352,high,human-only
219,1.0,2,11.058466383860065,high,robot-only
220,0.5,2,10.220777261533033,high,robot-only
221,1.0,1,9.363839354383197,medium,collaborative
222,1.0,1,12.942403079439828,medium,robot-only
223,0.0,1,11.150877965821717,high,robot-only
224,1.0,2,9.686982859151376,low,collaborative
225,0.5,2,10.867557198953824,high,robot-only
226,0.5,1,10.126762021549297,high,human-only
227,0.0,0,13.055085942876975,medium,human-only
228,0.0,0,7.7399530929086495,medium,collaborative
229,1.0,1,9.92477753738317,low,robot-only
230,0.5,2,6.926436276697395,medium,collaborative
231,0.5,0,10.331371016149353,low,robot-only
232,0.0,2,7.548078786157049,high,human-only
233,0.5,0,10.482885252528728,low,collaborative
234,0.0,0,6.462239611366689,low,robot-only
235,1.0,1,9.287333222277802,high,collaborative
236,0.0,2,7.168818039360991,low,robot-only
237,0.5,2,8.883058377556422,medium,robot-only
238,0.0,0,8.842577115249716,medium,collaborative
239,0.0,1,12.744523106764095,low,collaborative
240,0.5,0,5.322041672381658,high,human-only
241,1.0,1,6.177801907729129,medium,collaborative
242,1.0,0,10.969446729246819,medium,robot-only
243,0.0,1,6.3905560579713665,low,collaborative
244,0.5,2,7.905654826479082,high,human-only
245,0.5,0,7.937258695055473,medium,human-only
246,1.0,1,8.701519213238484,high,robot-only
247,0.0,0,10.858297824023188,high,human-only
248,0.0,2,6.811028980499584,high,human-only
249,0.5,1,10.827801807174307,low,collaborative
250,0.0,2,4.945271647582641,high,human-only
251,0.0,0,9.894146065055569,low,robot-only
252,1.0,1,12.45171006920859,medium,human-only
253,1.0,2,10.36118083822319,low,human-only
254,0.0,2,12.270375238153965,high,robot-only
255,0.0,0,9.409960763589101,high,collaborative
256,0.0,1,10.58866174983719,high,robot-only
257,1.0,0,8.183427513012367,medium,human-only
258,0.0,0,10.564403209535948,medium,robot-only
259,1.0,1,10.822012516968304,high,collaborative
260,1.0,0,8.57764422278894,medium,collaborative
261,0.5,2,10.372564659243086,medium,robot-only
262,0.5,1,9.110008652086426,medium,collaborative
263,1.0,2,6.336293209171128,medium,collaborative
264,1.0,1,9.292678375979829,medium,collaborative
265,0.5,2,10.234855606854925,low,robot-only
266,0.5,1,7.180383899456849,medium,robot-only
267,1.0,0,12.197406182635508,high,human-only
268,0.5,1,7.11192356092981,medium,human-only
269,1.0,2,5.629329242089198,high,collaborative
270,0.5,1,12.083181024266594,low,robot-only
271,0.5,1,9.405679625925794,low,human-only
272,0.5,1,8.934935667167188,high,human-only
273,0.5,1,9.130232309467493,high,human-only
274,1.0,2,5.344731459710213,medium,collaborative
275,1.0,1,12.728002947990715,medium,collaborative
276,0.5,2,10.930012738412978,medium,robot-only
277,0.5,1,9.508252268212726,medium,collaborative
278,0.5,2,10.84107442184636,medium,robot-only
279,0.0,1,9.348525394801982,medium,collaborative
280,0.0,0,8.137974050367214,high,robot-only
281,0.5,2,9.176379842409684,high,human-only
282,0.0,1,10.278693630331196,low,robot-only
283,0.5,0,11.237547073489925,medium,collaborative
284,0.5,2,9.072994322987746,medium,human-only
285,0.0,1,9.754061745054223,high,collaborative
286,0.0,2,7.115243536201252,medium,collaborative
287,0.0,1,13.87069143453067,high,robot-only
288,1.0,1,9.655451030735593,medium,human-only
289,1.0,0,8.031930851835881,high,collaborative
290,1.0,0,13.437006886214842,low,collaborative
291,1.0,2,13.932179996545752,medium,collaborative
292,1.0,2,9.666918513169561,high,human-only
293,0.5,2,13.864923675725215,medium,human-only
294,0.5,0,9.411575468619121,medium,robot-only
295,0.5,0,13.535928388150863,low,collaborative
296,1.0,1,17.71750443359347,medium,human-only
297,0.0,1,11.83077414197549,low,human-only
298,0.5,2,8.817901534605905,high,collaborative
299,0.5,2,9.517410706039568,medium,collaborative
300,0.5,2,11.931207290170748,low,collaborative
301,0.5,2,9.622369400323993,low,collaborative
302,0.0,0,9.792624352826333,low,human-only
303,1.0,1,11.45388757088473,high,robot-only
304,0.5,0,10.343641295700886,low,human-only
305,1.0,0,9.165317943063544,medium,human-only
306,0.5,0,11.281407293169531,medium,collaborative
307,0.5,0,7.129186735987248,high,human-only
308,1.0,1,9.21005174639194,medium,human-only
309,0.0,1,12.235926255269066,medium,collaborative
310,0.0,1,14.284550065820271,high,human-only
311,1.0,2,7.900993398411696,high,robot-only
312,0.0,1,10.274793441951829,medium,collaborative
313,0.5,2,7.306100148492257,low,human-only
314,0.5,1,10.879063268271384,medium,human-only
315,0.0,1,9.547467473028888,medium,collaborative
316,0.5,1,7.904184420260419,medium,collaborative
317,0.0,1,8.0479868439374,high,collaborative
318,0.0,1,8.626079981699325,high,robot-only
319,0.5,1,9.682782157013254,medium,human-only
320,0.0,1,9.995772499033912,medium,human-only
321,0.5,1,10.941048265668332,low,collaborative
322,0.0,0,8.98477020296533,medium,human-only
323,1.0,2,6.884327525407959,high,robot-only
324,1.0,2,9.366620383716294,medium,robot-only
325,1.0,1,13.592405622301674,low,robot-only
326,1.0,0,13.218745408994,high,collaborative
327,0.0,2,13.586387384817073,medium,human-only
328,0.5,0,10.11063580912135,high,human-only
329,1.0,0,10.99905181117326,medium,robot-only
330,0.5,1,9.488344330947179,medium,robot-only
331,1.0,0,8.680737196667211,low,collaborative
332,1.0,1,13.435930250785924,medium,robot-only
333,0.5,1,5.962317856353423,high,collaborative
334,0.5,2,10.315583250245039,medium,human-only
335,0.5,2,10.176396219876164,medium,robot-only
336,1.0,0,10.795385530721823,high,collaborative
337,0.0,2,11.127762350443707,medium,collaborative
338,1.0,1,10.814564402349127,low,robot-only
339,0.5,0,13.0893347293595,medium,human-only
340,0.0,2,11.915161411075283,high,collaborative
341,0.5,0,9.892092124038642,medium,human-only
342,0.5,1,10.884396426525372,high,collaborative
343,0.0,2,7.721291759031391,low,robot-only
344,0.0,0,10.25655300807589,high,robot-only
345,0.5,0,8.220694364786086,high,collaborative
346,0.0,0,7.756566809149633,low,robot-only
347,0.5,1,11.425893989073245,high,human-only
348,0.5,1,10.647420326230833,medium,collaborative
349,0.5,2,7.074223941455912,high,human-only
350,1.0,1,5.474758006860416,medium,collaborative
351,0.5,2,13.23871305652829,medium,human-only
352,0.5,0,9.378031663859907,medium,collaborative
353,1.0,1,7.2644457529418105,medium,human-only
354,0.5,2,9.715819471789544,medium,robot-only
355,0.5,1,8.70512988789075,low,human-only
356,0.5,1,11.460940745482121,low,human-only
357,0.0,1,11.283110340092367,high,collaborative
358,0.5,1,11.42989176675847,high,human-only
359,1.0,2,9.623690185952606,low,human-only
360,0.0,0,12.113481873118609,medium,robot-only
361,1.0,0,11.467312462751433,high,human-only
362,1.0,2,13.031668727489569,high,collaborative
363,0.5,1,7.001198309398793,medium,human-only
364,0.0,0,8.244774618960387,high,human-only
365,0.0,1,10.317693315347729,low,human-only
366,0.5,0,11.18584974743005,high,robot-only
367,0.0,1,8.831692343753252,low,robot-only
368,1.0,2,13.532111896548559,high,human-only
369,0.5,0,9.41706024049563,low,collaborative
370,0.0,1,9.9234672353443,medium,collaborative
371,1.0,0,10.569805344080482,low,human-only
372,0.0,1,8.0962794382987,low,human-only
373,0.0,1,9.978778626481985,high,collaborative
374,1.0,1,5.7216670475856795,high,human-only
375,1.0,1,7.891646387155497,high,human-only
376,0.0,0,10.029105714500318,high,robot-only
377,1.0,2,6.928523393094773,medium,robot-only
378,0.5,1,4.119470674027203,medium,collaborative
379,0.0,1,10.578753090770672,low,collaborative
380,0.5,1,12.025350865665509,low,robot-only
381,1.0,0,11.656111913195014,high,human-only
382,0.5,0,6.996560462561107,low,robot-only
383,0.0,1,6.817890103856737,low,collaborative
384,0.5,0,11.05402485332929,low,collaborative
385,0.0,1,11.190845389717213,medium,human-only
386,0.0,1,11.467284644174,medium,human-only
387,0.0,1,9.110947366797989,high,human-only
388,0.5,1,12.21168386342382,medium,human-only
389,1.0,1,8.710996118047387,medium,collaborative
390,1.0,1,12.059977177151303,high,robot-only
391,1.0,1,12.712435927665513,medium,collaborative
392,1.0,1,10.799214926197767,medium,collaborative
393,0.5,2,11.74880224167906,medium,collaborative
394,0.5,2,9.613847160146156,medium,collaborative
395,0.0,2,8.183599741601476,medium,collaborative
396,0.5,0,12.03561576867135,low,collaborative
397,0.0,1,9.507365536812992,medium,human-only
398,0.5,1,11.578220084481591,high,robot-only
399,0.0,1,10.149068937105366,high,robot-only
400,0.5,1,11.246191278839225,medium,robot-only
401,1.0,1,9.769580146935358,medium,robot-only
402,0.0,1,11.516067956784642,high,robot-only
403,0.0,1,11.81029722632412,medium,collaborative
404,1.0,2,8.378009098762133,high,robot-only
405,1.0,2,7.5349283638981746,low,collaborative
406,0.5,1,6.911767053467155,low,robot-only
407,0.0,0,9.03356353452185,low,collaborative
408,0.0,0,5.622059839504571,medium,robot-only
409,0.0,2,9.249183245994736,low,robot-only
410,0.5,1,7.429849027782534,high,human-only
411,0.5,2,11.501661254606951,medium,collaborative
412,0.5,0,9.822359545647078,high,collaborative
413,0.0,0,10.470878421974403,high,collaborative
414,0.5,1,7.111193012312617,high,human-only
415,1.0,1,10.994092668585537,low,collaborative
416,0.5,2,12.33487515659775,low,human-only
417,1.0,1,15.444116992076099,medium,robot-only
418,0.5,2,13.181238257711744,low,robot-only
419,0.5,1,8.115212059171677,low,collaborative
420,0.5,1,13.256812179666907,medium,collaborative
421,0.0,0,11.417837746096222,low,human-only
422,0.0,1,6.386972181437297,low,collaborative
423,0.0,0,12.448743257723235,low,human-only
424,0.5,0,6.962241293345458,high,human-only
425,0.0,0,12.077751433313248,medium,human-only
426,0.5,1,11.00686690559189,high,collaborative
427,1.0,2,12.236377856236874,high,collaborative
428,1.0,0,6.224600589994261,low,collaborative
429,0.5,0,8.466783768469966,low,robot-only
430,0.5,2,11.837204247872245,low,human-only
431,0.0,2,10.933017445407566,high,robot-only
432,0.5,1,15.134596128464278,medium,collaborative
433,1.0,1,10.68548874463633,low,robot-only
434,0.5,0,13.871243699920973,low,robot-only
435,0.5,1,9.374064568333079,medium,human-only
436,1.0,1,12.918440111239324,medium,robot-only
437,0.0,1,9.137887555481765,medium,human-only
438,0.5,1,10.194593114915197,medium,collaborative
439,0.5,2,6.220726029411505,high,human-only
440,1.0,0,8.075059804803418,high,robot-only
441,1.0,1,10.419227430100875,high,human-only
442,0.5,1,6.387548668697251,high,human-only
443,0.0,0,9.164805045725268,low,collaborative
444,0.5,2,10.496042523330821,low,robot-only
445,0.0,1,10.93124906600341,medium,robot-only
446,0.0,2,12.099051882747162,medium,robot-only
447,1.0,1,8.66257559764317,high,robot-only
448,1.0,2,12.053684505471399,low,collaborative
449,0.0,0,8.282088621770878,medium,human-only
450,0.5,2,9.965352758729969,high,collaborative
451,0.5,0,9.627918103365092,low,robot-only
452,0.5,2,6.756872835453285,high,human-only
453,0.5,0,7.8463049537457215,medium,collaborative
454,1.0,0,15.442524341404678,low,collaborative
455,0.5,2,12.194405321928988,medium,collaborative
456,1.0,0,5.879608537782643,medium,robot-only
457,0.0,1,16.238661218451377,low,collaborative
458,0.5,1,12.54854005490639,medium,human-only
459,0.5,1,8.896169950355949,medium,robot-only
460,0.5,2,12.553404867608561,high,robot-only
461,0.5,0,9.076112033990041,low,human-only
462,1.0,2,10.708986842135493,low,robot-only
463,1.0,1,10.151226923360277,high,human-only
464,0.5,0,9.801532223156142,high,collaborative
465,1.0,0,13.210126116895182,low,collaborative
466,0.0,0,8.113296227242982,medium,human-only
467,0.0,0,12.76360452479462,medium,collaborative
468,0.0,1,7.670081713597247,medium,robot-only
469,0.5,1,13.286222405356778,high,human-only
470,0.5,2,15.67404741571939,high,robot-only
471,0.0,2,6.261862887338484,medium,human-only
472,0.5,2,7.055354312095211,high,collaborative
473,0.5,1,10.542385733998744,low,robot-only
474,0.5,0,10.336764393193697,medium,collaborative
475,1.0,0,8.909359817715764,low,collaborative
476,1.0,1,15.56134527527721,high,collaborative
477,0.0,1,9.92133371920033,low,human-only
478,0.5,1,10.845937288432015,low,robot-only
479,1.0,2,13.38001233617359,low,collaborative
480,0.0,1,11.27795971977416,high,collaborative
481,0.5,0,9.970151170635399,low,robot-only
482,1.0,1,9.553463191515021,low,human-only
483,0.5,0,9.992896823083804,low,robot-only
484,1.0,2,7.730557513300702,high,human-only
485,0.0,0,11.691341887048614,high,collaborative
486,0.0,2,11.359601910150177,medium,robot-only
487,0.5,0,9.749413869461998,low,collaborative
488,0.0,1,9.014760359307218,low,robot-only
489,1.0,0,10.786126768762617,high,robot-only
490,0.0,0,8.164961693743203,medium,robot-only
491,0.0,1,8.265009706919386,low,collaborative
492,0.5,1,9.68173290189413,medium,collaborative
493,1.0,2,9.362084194157541,medium,collaborative
494,1.0,1,7.064753893403424,low,robot-only
495,0.5,1,10.75101859721312,medium,collaborative
496,0.5,0,7.1608234542125215,high,robot-only
497,0.5,1,11.162905808384732,high,human-only
498,0.0,1,10.13352901941306,low,collaborative
499,0.5,2,7.257557307658011,high,human-only
500,0.0,2,6.79028848341083,medium,robot-only
501,0.5,2,11.787293532355376,low,robot-only
502,1.0,2,10.061087251851147,medium,collaborative
503,0.5,1,9.437599786670917,low,collaborative
504,1.0,0,13.429626433592059,medium,robot-only
505,1.0,0,10.34205606289299,high,collaborative
506,1.0,0,13.204110627547134,medium,robot-only
507,0.5,0,9.683844038507896,high,human-only
508,1.0,1,9.814204824282575,low,robot-only
509,0.5,2,11.180405655221325,low,human-only
510,0.5,1,8.294074197098432,medium,collaborative
511,0.0,2,12.090951718713068,medium,collaborative
512,1.0,0,8.168847923946881,high,collaborative
513,1.0,0,7.49798832355704,high,human-only
514,0.5,2,9.200310919083742,high,collaborative
515,1.0,2,10.265043195492904,low,collaborative
516,0.5,1,10.757985872966577,low,human-only
517,0.0,0,13.182708996118023,low,robot-only
518,1.0,2,9.677424064390046,medium,human-only
519,0.0,1,10.55744432763547,high,robot-only
520,0.0,2,8.536746714209954,low,human-only
521,0.0,0,6.830622537029797,high,robot-only
522,0.5,2,7.230674994863538,medium,human-only
523,1.0,2,9.47184587527274,high,robot-only
524,0.0,0,8.882088284308347,low,collaborative
525,0.5,1,8.89277635773844,low,human-only
526,0.0,1,10.380059340792627,medium,collaborative
527,1.0,0,8.931669703694888,medium,robot-only
528,0.0,1,14.065842203518864,medium,collaborative
529,1.0,2,11.302275976483346,high,robot-only
530,0.0,1,8.82744996241073,high,collaborative
531,0.0,2,8.877359247457884,medium,robot-only
532,0.5,1,7.427793848971252,high,robot-only
533,0.5,2,8.617012189202752,low,collaborative
534,0.5,2,10.337540629963675,medium,human-only
535,0.0,0,13.326759202917867,low,robot-only
536,0.5,1,8.413221287922308,medium,collaborative
537,0.5,1,7.06459482235422,medium,robot-only
538,0.0,1,6.737802126905695,low,collaborative
539,0.0,0,12.320387641040467,medium,collaborative
540,0.5,2,11.393107184761583,high,robot-only
541,0.0,1,7.183022048306743,medium,human-only
542,1.0,1,7.050300760867637,high,robot-only
543,1.0,1,9.47299128747893,medium,collaborative
544,0.0,2,11.92816964177472,low,collaborative
545,0.0,1,11.593290439500997,low,robot-only
546,0.5,1,8.667349865623272,low,collaborative
547,0.5,1,12.029970829874888,high,collaborative
548,0.5,0,12.703263544769545,medium,collaborative
549,0.0,1,6.422367636584436,medium,human-only
550,0.0,2,11.233178376912361,low,robot-only
551,0.0,2,10.316690561000579,medium,robot-only
552,0.0,0,8.369662269595844,medium,robot-only
553,1.0,1,11.057651508768824,high,collaborative
554,0.5,1,10.34739551726565,high,collaborative
555,0.0,2,10.902435600315924,medium,robot-only
556,0.5,2,9.13882910469529,low,collaborative
557,0.5,1,7.204903492916595,high,human-only
558,1.0,1,10.213171350877113,high,robot-only
559,0.5,0,11.887026348131535,high,robot-only
560,0.0,1,12.624802180482256,high,robot-only
561,0.5,2,11.207757444251563,medium,human-only
562,1.0,1,11.866461083717814,low,human-only
563,0.0,2,10.381194913470663,medium,human-only
564,0.0,0,10.939115862807924,medium,collaborative
565,0.0,1,11.06093233552278,medium,robot-only
566,1.0,1,9.978710531101486,high,collaborative
567,0.0,1,11.218175732504795,low,collaborative
568,0.0,1,6.9626664736345525,medium,human-only
569,1.0,1,14.660471049985688,low,human-only
570,1.0,1,14.52460219304665,low,robot-only
571,1.0,0,9.651649508676998,medium,human-only
572,0.5,1,10.908717810170733,low,collaborative
573,1.0,2,10.200243263296858,medium,robot-only
574,1.0,1,9.59389554931453,high,robot-only
575,0.0,0,12.062825883524537,high,collaborative
576,0.5,2,11.299159311065331,low,human-only
577,1.0,0,6.512274498744598,high,collaborative
578,0.0,1,9.378146545252491,medium,collaborative
579,0.0,2,10.434087194152141,high,robot-only
580,0.5,2,9.938198256289887,medium,collaborative
581,1.0,0,8.87828579647976,low,human-only
582,0.5,1,9.32172155952195,medium,human-only
583,0.5,1,9.305264100587626,medium,human-only
584,0.0,1,10.043610348170034,high,robot-only
585,0.5,0,10.885494287769884,medium,human-only
586,0.5,2,12.394037725926902,medium,robot-only
587,0.0,2,12.496267954075531,low,collaborative
588,0.0,1,10.882654458153054,low,human-only
589,0.5,0,13.891535440119778,low,collaborative
590,0.5,1,10.422318203283107,high,human-only
591,1.0,2,15.92148724301603,high,collaborative
592,0.5,2,11.850335335884242,low,collaborative
593,0.5,2,13.1045442130964,high,robot-only
594,1.0,2,6.568562551406904,low,collaborative
595,1.0,0,8.788376539143355,medium,collaborative
596,1.0,0,9.990546434968978,high,robot-only
597,0.5,2,8.019473065527844,low,human-only
598,0.0,0,11.206436352002052,medium,collaborative
599,0.0,0,14.020851986483565,high,robot-only
600,0.0,0,8.780054264367177,high,robot-only
601,0.0,1,11.296693177046288,high,human-only
602,0.5,1,7.1896966355912895,high,human-only
